date,open,close,high,low,volume,money
2022-08-17,15.51,15.89,16.05,15.35,100277426.0,1582396359.0
2022-08-18,15.89,15.81,15.89,15.6,67860640.0,1069201871.0
2022-08-19,15.77,16.02,16.29,15.66,75524906.0,1212848980.0
2022-08-22,16.03,16.05,16.15,15.87,53539962.0,857067043.0
2022-08-23,16.05,15.88,16.06,15.69,61786190.0,976410303.0
2022-08-24,15.77,15.65,15.89,15.54,63100290.0,993923492.0
2022-08-25,15.98,15.83,16.14,15.58,72552478.0,1146669783.0
2022-08-26,15.91,15.83,16.07,15.68,64160665.0,1019159031.0
2022-08-29,15.74,15.57,15.75,15.35,67140780.0,1037789350.0
2022-08-30,15.5,15.89,15.93,15.47,59427615.0,935524155.0
2022-08-31,16.38,16.63,16.75,16.19,160465590.0,2660329681.0
2022-09-01,16.75,16.84,17.2,16.47,130830401.0,2216182160.0
2022-09-02,16.93,16.8,16.95,16.57,69680411.0,1165902392.0
2022-09-05,16.86,17.17,17.37,16.72,93396757.0,1594583409.0
2022-09-06,17.13,17.85,17.88,17.1,143822394.0,2529054963.0
2022-09-07,17.66,17.52,17.82,17.4,88338610.0,1550325356.0
2022-09-08,17.54,17.58,17.69,17.25,72336234.0,1264869320.0
2022-09-09,17.49,18.15,18.39,17.41,141202545.0,2554321936.0
2022-09-13,18.11,18.18,18.55,17.94,106021641.0,1933183138.0
